,bnb,Christofides,Twice-around-the-tree
0,1800.5399420261383,0.05141711235046387,0.00646519660949707
1,1800.6049711704254,0.03839302062988281,0.005535602569580078
2,1800.9754362106323,0.4178485870361328,0.03762412071228027
3,1800.860778093338,0.1447136402130127,0.04123234748840332
4,1800.8015568256378,0.2760448455810547,0.04613375663757324
5,1800.6477081775665,0.7529206275939941,0.07982301712036133
6,1800.2906398773193,0.22448134422302246,0.021037578582763672
7,1800.233870267868,0.14385724067687988,0.019579410552978516
8,1800.612862110138,0.9983620643615723,0.1285088062286377
9,1800.5514290332794,0.9478509426116943,0.08661460876464844
